포임스포츠클럽,"서울특별시 영등포구 대림로 152 (대림동, 연희빌딩)"
지비휘트니스문화센터,"서울특별시 금천구 시흥대로153길 99 (가산동,신평대일타운 6층)"
바비엥 휘트니스클럽,바비엥 휘트니스클럽
헬스보이짐 여의도점,"서울특별시 영등포구 은행로 37 (여의도동, 기계산업진흥회)"
발리짐 상계역점,"서울특별시 노원구 덕릉로 699 (중계동,(3층))"
쉬리 여성전용 헬스클럽,서울특별시 금천구 독산로 49 (시흥동)
드림팩토리짐,"서울특별시 강남구 논현로 513 (역삼동,2층)"
헬스보이짐 여의도역점,"서울특별시 영등포구 국제금융로6길 26 (여의도동, 한국노총)"
우리동네 체육관,"서울특별시 도봉구 우이천로32길 38 (쌍문동,동주빌딩 지하1)"
맥스짐,"서울특별시 마포구 잔다리로 89, 지하1층 (서교동)"
오메가 쓰리 스포츠,"서울특별시 중랑구 봉화산로 117, 2,3,4층 (상봉동)"
FUN 휘트니스,"서울특별시 강북구 솔샘로 327 (미아동,2층)"
비타민 휘트니스클럽,"서울특별시 성북구 정릉로 250  (정릉동,정릉빌딩 5층)"
바디엔스윙,"서울특별시 마포구 삼개로 38, 우성상가A동 지층 7호 (도화동, 도화3지구우성아파트)"
피트니스 에스 핏,"서울특별시 중랑구 신내로14길 13, 5층 (신내동)"
바디채널 공릉역점,"서울특별시 노원구 동일로 1077 (공릉동,지하1층)"
난곡점 스포애니 (주)케이디스포츠,"서울특별시 금천구 남부순환로 1428, 6층 (독산동, 지오프라자)"
비타민헬스클럽,"서울특별시 도봉구 마들로 649-20, 7층 (방학동, 메인프라자)"
휘트니스인앤필라테스인,"서울특별시 성북구 삼양로 22 (길음동,(지하2층))"
JM휘트니스,"서울특별시 광진구 영화사로 24  (중곡동,동화빌딩  5층)"
등촌점 스포애니 주)케이디스포츠,"서울특별시 강서구 공항대로41길 34, 5층 (등촌동, 플러스존)"
트리짐,트리짐
라온 휘트니스,"서울특별시 성동구 마장로 302, 지하1,2층 (마장동)"
범 휘트니스,서울특별시 강북구 삼양로 293 (수유동)
광진문화예술회관,"서울특별시 광진구 능동로 76 (자양동, 광진문화예술회관및구의회청사)"
태광 스포츠,"서울특별시 강서구 강서로52길 83  (내발산동,1층, 2층)"
휘트니스 존,서울특별시 강동구 양재대로89가길 14 (성내동)
롯데호텔 휘트니스센터,"서울특별시 송파구 올림픽로 240 (잠실동, 롯데월드)"
비나이더 구로점,"서울특별시 구로구 공원로 47, B1호 (구로동,두산베어스타워)"
서울특별시 동부여성발전센터,"서울특별시 광진구 아차산로30길 36 (자양동, 서울특별시 동부여성발전센타)"
열린산업개발 토탈휘트니스,서울특별시 강서구 양천로 49 (방화동)
현대카드/캐피탈 휘트니스센터,"서울특별시 영등포구 국회대로66길 3 (여의도동, 한섬빌딩)"
웰리스,웰리스
팩토리짐,"서울특별시 은평구 갈현로 141, 3층 (구산동)"
스카이 휘트니스클럽,"서울특별시 용산구 한강대로 258, 2층 3층 (남영동)"
스포애니 명일역점,"서울특별시 강동구 구천면로 424 (명일동, 명일메가타운)"
맥스휘트니스,"서울특별시 은평구 진흥로1길 34, 효성빌딩 2층 (역촌동)"
짐퍼스트 휘트니스,"서울특별시 송파구 토성로 78 (풍납동, 정민빌딩)"
스피드순환운동,"서울특별시 서초구 바우뫼로 106  (양재동,(2층))"
소의스포렉스,"서울특별시 마포구 마포대로24길 42, 1층 (아현동, 소의초등학교)"
휘트니스베이24시 석관점,"서울특별시 성북구 한천로 509 (석관동,코오롱아파트상가(지하))"
BM 휘트니스클럽,"서울특별시 성북구 보문로 94, 7층 (보문동4가, 화성빌딩)"
